,Lesson(s) Learned,Driving Event Level 1,Driving Event Level 2,Recommendation(s),document IDs for row,number of documents for row
946,vapor pressure,productivity,radiance,contamination,[518],1
947,waiver,productivity,demates,extend mission,[369],1
948,wear,productivity,bag purge,contamination,[43],1
949,wear,productivity,demates,thread,[22],1
950,wear,productivity,spacecraft mass property,fitting,[154],1
951,wear,provide adequate clearance,faraday cage,contamination,[439],1
952,wear,xenon tank,frequency mode shape,connector,[444],1
953,wear,xenon tank,microscope objective,esd,[773],1
954,wear,xenon tank,probability occurrence failure,assumption make,[269],1
955,winch,productivity,bag purge,assumption make,[1143],1
956,winch,productivity,bag purge,redundancy,[589],1
957,winch,xenon tank,fault protection,flight ground lander challenge axis,[1530],1
